Lon,Lat,NDVI,NDBI,Albedo,Dist_Water,Air_Temp,Humidity,Elevation,Wind_Speed,LULC,LST,Heat_Index,HSI,LULC_10,LULC_20,LULC_30,LULC_40,LULC_50,LULC_60,LULC_80
77.27939440885835,28.784613775592693,0.7010743452429131,-0.14497722309574412,0.2705045594839592,139.19276354518706,35.95981759580226,75.01003471937906,236.51200643994008,0.5171878440292915,50,52.28189165499308,57.3684380385535,0.34132859032021334,False,False,False,False,True,False,False
77.36563633117795,28.76931982950124,0.76179049547454,0.24499223401898013,0.18032025980278846,276.65641387897654,32.18010042606332,83.11612616511314,274.8809729178864,1.8276428423173496,50,54.21905006673317,46.43218453473348,0.29262620922799354,False,False,False,False,True,False,False
77.20634951987569,28.786105787106706,0.12983835846705524,0.0914804117522397,0.24139943368680358,697.1285721779075,33.368394199949755,49.22204821394868,211.63631523806362,4.323700081799316,30,58.09662295528187,36.80828295721859,0.29062428675492247,False,False,True,False,False,False,False
77.17584558752701,28.624476475631006,0.39743748702128423,0.05172941670202663,0.15168550282286763,198.1670588806781,34.557714784976326,44.8848074592351,260.10865076419213,3.2007734282863813,50,56.81373772638042,37.87979638309215,0.27484294637901907,False,False,False,False,True,False,False
77.21308856179036,28.50007324778659,0.45569566527728034,-0.042535667981375314,0.11634880490894535,736.6179759030114,30.46832134080088,54.84795378916124,209.72226884342498,0.9657123754433228,50,52.37500362521522,32.665726375316794,0.15079653286858014,False,False,False,False,True,False,False
77.24011200494031,28.527929847733077,0.44745296858063305,-0.11305433944724831,0.12536817668628242,276.8748353727388,38.57902280084423,71.73871977469774,211.95943120827408,4.94902685626427,50,56.1995259050035,66.6552373468524,0.48727847096695087,False,False,False,False,True,False,False
77.36044989941381,28.468600607680806,0.18184459944933273,0.25995971346753133,0.16074524063335313,326.8277312047493,30.678014086244925,65.00400251061568,76.52075800700247,1.957501513733948,50,58.952841230035474,35.39990556853265,0.2957609757534594,False,False,False,False,True,False,False
77.03210948795791,28.409859295371678,0.12262656675224709,0.08325904671847778,0.24332906075739477,595.9022886622608,37.6854944131221,81.46458096644376,57.955291538100695,0.055673460620415116,50,63.358385826622424,70.95035067010522,0.655317891652574,False,False,False,False,True,False,False
77.05479402839424,28.452888948484006,0.6216498267056073,0.30072941066532083,0.15553399688384859,980.610471695113,31.484548937628507,71.17409921776677,189.5103557219534,4.209972778343954,60,57.72345244794432,39.32276085453998,0.3031800090315959,False,False,False,False,False,True,False
77.25196272222676,28.67365024288158,0.41816612472339615,0.3030074926301694,0.26130007551673823,389.08639471782845,33.666786240470095,52.30265313542898,208.0709997167663,2.596284434072504,10,58.7705945180437,38.429905897604414,0.315919367143219,True,False,False,False,False,False,False
77.33324433352111,28.66287193735394,0.49837330360788523,0.24162048708395334,0.15596915933538225,700.616402719043,34.02766560321609,68.24171856545526,68.16492780054355,4.664798468199601,50,58.244674830166275,46.003036546679326,0.36497889510470216,False,False,False,False,True,False,False
77.168464365871,28.519333344408032,0.2049397271647976,0.19338823430248853,0.23819495062158264,798.7386390908548,30.691952215930296,53.507284123081945,227.14668780913306,4.416747885988718,60,58.910437435763455,32.79096021526274,0.27465595947747007,False,False,False,False,False,True,False
